@relation targetAtiva-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute CCLA_MED numeric
@attribute Cda_MED numeric
@attribute CE_MED numeric
@attribute CHINa_MED numeric
@attribute CLCA_MED numeric
@attribute COMBa_MED numeric
@attribute COMBAa_MED numeric
@attribute CT_CP_MED numeric
@attribute Daa_MED numeric
@attribute Dca_MED numeric
@attribute Dma_MED numeric
@attribute ENDIV_MED numeric
@attribute FUTLa_MED numeric
@attribute GAFa_MED numeric
@attribute GAOa_MED numeric
@attribute GATa_MED numeric
@attribute GIROAa_MED numeric
@attribute GLCAa_MED numeric
@attribute ILNCG_MED numeric
@attribute IMOB_RECa_MED numeric
@attribute INTWOa_MED numeric
@attribute LAA_MED numeric
@attribute LC_MED numeric
@attribute LG_MED numeric
@attribute NCGA_MED numeric
@attribute NCGRa_MED numeric
@attribute NITAa_MED numeric
@attribute OENEG_MED numeric
@attribute PLCT_MED numeric
@attribute PMCRa_MED numeric
@attribute PMPEa_MED numeric
@attribute Raa_MED numeric
@attribute RPLa_MED numeric
@attribute SIZE_MED numeric
@attribute TA_MED numeric
@attribute TLTA_MED numeric
@attribute Tra_MED numeric
@attribute VAR_LL_T_1ANOa_MED numeric
@attribute VAR_REC_T_1ANOa_MED numeric
@attribute WCTA_MED numeric
@attribute DIF_EM_MED numeric
@attribute Target {0,1}

@data
0.277275,0.297095,0.219963,1,0.270472,1.139016,1.024471,1.019084,0.238595,0,0.689779,0.504726,0.110407,0.197683,-6.973769,1.47013,0.680212,0.042017,6.632121,0.075825,0,0.413676,3.697235,1.859718,-0.004834,-0.014725,0.024446,0,0.981273,39.198533,30.04465,0.180347,0.039221,3.419775,0.265801,0.504726,0.285748,2.555311,-0.005631,0.277275,1,0
0.424982,0,1,1,0.27889,0.865452,0.880731,0.171539,0.748592,0.092409,0.087745,0.146422,0.478641,0.321141,1.740946,1.489542,0.671347,0.10432,0.206111,0.528053,0,0.427938,2.847924,1.840841,0.049606,0.073891,0.10432,0,4.010147,116.892578,0,0.370355,0.13293,2.916996,0.049064,0.146422,0.134785,0.096618,0.371666,0.424982,1,0
-0.196148,0.066037,1,-1,1.331932,1.200537,1.300384,1.943931,0.860357,0.002488,0.397087,0.776065,-0.058798,-0.050967,0.554003,0.684095,1.461786,-0.032177,-0.678382,0.24703,1,-1.897544,0.746983,0.746983,0.138016,0.202958,-0.064818,0,0.295095,91.23484,9.323648,1.015617,-0.378009,2.259319,-0.288228,0.776065,-0.242577,0.843701,0.340614,-0.196148,1,0
0.143197,0.524306,1,1,0.796869,1.021822,1.021745,2.284881,0.161147,0.015528,0.834822,0.695575,0.11835,0.029022,-0.843604,0.254988,3.921761,0.066483,0.51708,0.056461,0,0.087377,1.254911,1.15208,0.178594,0.045539,0.0088,0,0.43766,56.19688,13.699061,0.691908,0.020081,3.611006,0.091371,0.695575,0.023547,-0.228209,0.124438,0.143197,0,0
-0.106587,0.360504,0.832,-1.02164,1.18074,1.020566,1.024847,6.271642,0.090505,0.025921,0.887785,0.899344,0.072169,0.012314,-0.165162,0.222752,4.489299,0.062245,0.067497,0.019984,0,0.002721,0.846927,0.876505,-0.003275,-0.000608,0.000729,0,0.111921,51.820443,40.497311,0.449573,0.005339,5.00455,0.020684,0.899344,0.004607,-1.495037,0.189186,-0.106587,1,0
0.149448,0.269641,0.179402,-1,0.488384,1.038191,1.036177,3.59004,0.315571,0.026759,0.702348,0.782084,0.041879,-0.002458,-89.425844,0.779614,1.282751,0.032231,0.754707,0.227537,0.5,0.050678,2.055087,0.81829,0.093043,0.074681,0.000044,0,0.278658,36.519835,18.498946,0.400844,-0.000503,4.586139,0.073089,0.782084,0.058244,-3.742965,0.100312,0.149448,0,0
0.119754,0.003602,0.791378,1,0.821431,1.018289,1.003072,2.699576,0.121762,0.008037,0.89881,0.729699,0.033067,0.155784,-5.429803,0.318469,3.140019,0.023057,1.418445,0.037738,0,0.029875,1.217387,1.192026,-0.286188,-0.08881,0.01591,0,0.370429,14.687707,36.870247,0.386622,0.058859,4.894018,0.405942,0.729699,0.121543,-0.445941,0.144089,0.119754,1,0
0.503491,0.874907,0.847959,1,0.377628,0.930731,0.916806,0.418499,0.152093,0.019633,0.7136,0.29503,0.846789,0.328131,-0.102819,0.39986,2.500878,0.243437,3.806216,0.077338,0,0.296401,2.648109,2.648109,-0.164544,-0.060097,0.219445,0,2.389489,5.089756,32.832375,0.518683,0.30747,4.527723,0.600948,0.29503,0.239411,-0.045177,0.208602,0.503491,1,0
1,?,?,?,0,?,0,0,?,?,?,0,?,3.750896,?,?,?,-0.000001,?,?,0,0,?,?,0,?,-0.000001,0,?,?,?,0,-0.000001,2.131361,1,0,?,0,?,1,1,0
-0.012404,0.217915,1,-1,1.012791,0.969894,1.10948,1.467734,0.214525,0.155362,0.511208,0.667817,-0.001746,0.680563,-0.996538,1.875556,0.533175,-0.001302,0.091657,0.036747,0,0.200713,0.987371,1.445152,0.018437,0.034539,-0.019482,0,0.497416,206.748878,93.859405,0.224471,-0.16122,2.724081,0.031142,0.667817,0.062583,-1.284238,0.720298,-0.012404,1,0
